0,0000 0,00 0,00 0,00 0,00 0,00 0,00
5988,0000 173,44 12,78 0,00 3,40 -668,54 477,66
5988,0000 173,44 12,78 0,00 2,51 -667,74 476,99
6002,0000 173,73 12,82 0,00 1,62 -666,94 476,30
6003,0000 173,73 12,82 0,00 0,72 -666,13 475,61
6014,0000 173,63 12,75 0,00 -0,19 -665,31 474,91
6017,0000 173,63 12,75 0,00 -1,09 -664,48 474,21
6017,0000 173,63 12,75 0,00 -2,01 -663,65 473,51
6028,0000 173,63 12,75 0,00 -2,92 -662,82 472,80
6029,0000 173,63 12,75 0,00 -3,83 -661,98 472,10
6040,0000 173,71 12,88 0,00 -4,73 -661,15 471,40
6041,0000 173,71 12,88 0,00 -5,63 -660,32 470,71
6042,0000 173,71 12,88 0,00 -6,53 -659,49 470,01
6057,0000 173,70 12,96 0,00 -7,42 -658,67 469,33
6057,0000 173,70 12,96 0,00 -8,30 -657,86 468,65
6079,0000 173,63 12,90 0,00 -9,16 -657,06 467,98
6079,0000 173,63 12,90 0,00 -10,02 -656,26 467,32
6079,0000 173,63 12,90 0,00 -10,87 -655,48 466,66
6116,0000 173,57 12,69 0,00 -11,71 -654,70 466,02
6116,0000 173,57 12,69 0,00 -12,53 -653,94 465,38
6142,0000 173,65 12,88 0,00 -13,34 -653,19 464,76
6143,0000 173,65 12,88 0,00 -14,14 -652,45 464,15
6144,0000 173,65 12,88 0,00 -14,92 -651,73 463,54
6158,0000 173,65 12,88 0,00 -15,69 -651,02 462,95
6160,0000 173,36 12,29 0,00 -16,45 -650,32 462,37
6172,0000 173,36 12,29 0,00 -17,19 -649,64 461,81
6172,0000 173,36 12,29 0,00 -17,91 -648,98 461,25
6172,0000 173,36 12,29 0,00 -18,62 -648,32 460,71
6189,0000 173,26 12,31 0,00 -19,31 -647,69 460,18
6189,0000 173,26 12,31 0,00 -19,99 -647,07 459,66
6205,0000 173,22 12,17 0,00 -20,65 -646,47 459,16
6205,0000 173,22 12,17 0,00 -21,30 -645,88 458,67
6206,0000 173,22 12,17 0,00 -21,93 -645,30 458,19
6217,0000 173,65 13,27 0,00 -22,55 -644,75 457,72
6217,0000 173,65 13,27 0,00 -23,15 -644,21 457,26
6230,0000 173,65 13,27 0,00 -23,73 -643,68 456,82
6230,0000 173,65 13,27 0,00 -24,30 -643,17 456,39
6231,0000 173,65 13,27 0,00 -24,86 -642,68 455,97
6241,0000 173,12 12,11 0,00 -25,40 -642,20 455,57
6241,0000 173,12 12,11 0,00 -25,92 -641,74 455,17
6262,0000 173,61 13,27 0,00 -26,43 -641,29 454,79
6262,0000 173,61 13,27 0,00 -26,93 -640,86 454,42
6262,0000 173,61 13,27 0,00 -27,41 -640,45 454,07
6277,0000 173,57 13,40 0,00 -27,88 -640,05 453,72
6277,0000 173,57 13,40 0,00 -28,34 -639,66 453,38
6314,0000 173,06 12,13 0,00 -28,78 -639,28 453,06
6315,0000 173,06 12,13 0,00 -29,20 -638,92 452,74
6316,0000 173,06 12,13 0,00 -29,62 -638,57 452,44
6329,0000 173,28 12,49 0,00 -30,02 -638,24 452,14
6330,0000 173,28 12,49 0,00 -30,41 -637,91 451,86
6350,0000 173,26 13,23 0,00 -30,78 -637,60 451,58
6350,0000 173,26 13,23 0,00 -31,15 -637,29 451,32
6351,0000 173,26 13,23 0,00 -31,50 -637,00 451,06
6366,0000 172,86 12,12 0,00 -31,84 -636,72 450,81
6366,0000 172,86 12,12 0,00 -32,17 -636,45 450,57
6377,0000 172,86 12,12 0,00 -32,48 -636,19 450,34
6378,0000 172,86 12,12 0,00 -32,79 -635,94 450,12
6378,0000 172,86 12,12 0,00 -33,09 -635,70 449,91
6391,0000 172,76 11,87 0,00 -33,37 -635,47 449,70
