Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
2606.00 	86.6500 	-707.590 	530.570 	86.5190 	-707.465 	530.482 	
2610.00 	86.6500 	-707.590 	530.570 	86.5190 	-707.465 	530.482 	
2615.00 	86.6500 	-707.590 	530.570 	86.5190 	-707.465 	530.482 	
2618.00 	86.6500 	-707.590 	530.570 	86.3365 	-707.245 	530.327 	
2622.00 	86.6500 	-707.580 	530.570 	86.3365 	-707.245 	530.327 	
2627.00 	86.6400 	-707.580 	530.570 	86.3365 	-707.245 	530.327 	
2630.00 	86.6400 	-707.580 	530.570 	86.3365 	-707.245 	530.327 	
2635.00 	86.6400 	-707.580 	530.560 	86.3365 	-707.245 	530.327 	
2639.00 	86.6400 	-707.580 	530.570 	86.3365 	-707.245 	530.327 	
2644.00 	86.6400 	-707.580 	530.570 	86.7215 	-707.652 	530.637 	
2647.00 	86.6400 	-707.580 	530.570 	86.7215 	-707.652 	530.637 	
2652.00 	86.6400 	-707.580 	530.570 	86.7215 	-707.652 	530.637 	
2655.00 	86.6400 	-707.580 	530.570 	86.7215 	-707.652 	530.637 	
2659.00 	86.6300 	-707.580 	530.570 	86.7215 	-707.652 	530.637 	
2663.00 	86.6300 	-707.580 	530.570 	86.7215 	-707.652 	530.637 	
2668.00 	86.6300 	-707.580 	530.570 	86.7415 	-707.548 	530.617 	
2671.00 	86.6300 	-707.570 	530.560 	86.7415 	-707.548 	530.617 	
2675.00 	86.6300 	-707.570 	530.560 	86.7415 	-707.548 	530.617 	
2679.00 	86.6300 	-707.570 	530.560 	86.7415 	-707.548 	530.617 	
2684.00 	86.6300 	-707.570 	530.550 	86.7415 	-707.548 	530.617 	
2687.00 	86.6200 	-707.560 	530.550 	86.7415 	-707.548 	530.617 	
2692.00 	86.6200 	-707.560 	530.550 	86.7415 	-707.513 	530.607 	
2695.00 	86.6200 	-707.560 	530.550 	86.7415 	-707.513 	530.607 	
2699.00 	86.6200 	-707.560 	530.550 	86.7415 	-707.513 	530.607 	
2703.00 	86.6200 	-707.560 	530.540 	86.7415 	-707.513 	530.607 	
2707.00 	86.6200 	-707.550 	530.540 	86.7415 	-707.513 	530.607 	
2711.00 	86.6200 	-707.550 	530.540 	86.7415 	-707.513 	530.607 	
2716.00 	86.6200 	-707.550 	530.540 	86.4715 	-707.461 	530.457 	
2719.00 	86.6200 	-707.550 	530.540 	86.4715 	-707.461 	530.457 	
2723.00 	86.6200 	-707.550 	530.540 	86.4715 	-707.461 	530.457 	
2727.00 	86.6200 	-707.540 	530.540 	86.4715 	-707.461 	530.457 	
2731.00 	86.6200 	-707.540 	530.540 	86.4715 	-707.461 	530.457 	
2735.00 	86.6200 	-707.540 	530.540 	86.7940 	-707.682 	530.682 	
2739.00 	86.6200 	-707.540 	530.550 	86.7940 	-707.682 	530.682 	
2743.00 	86.6200 	-707.540 	530.550 	86.7940 	-707.682 	530.682 	
2751.00 	86.6200 	-707.540 	530.550 	86.7940 	-707.682 	530.682 	
2751.00 	86.6200 	-707.540 	530.550 	86.7940 	-707.682 	530.682 	
2755.00 	86.6200 	-707.540 	530.550 	86.7940 	-707.682 	530.682 	
2760.00 	86.6200 	-707.540 	530.550 	87.0590 	-707.084 	530.642 	
2764.00 	86.6300 	-707.540 	530.550 	87.0590 	-707.084 	530.642 	
2767.00 	86.6300 	-707.540 	530.550 	87.0590 	-707.084 	530.642 	
2771.00 	86.6300 	-707.530 	530.550 	87.0590 	-707.084 	530.642 	
2775.00 	86.6300 	-707.530 	530.550 	87.0590 	-707.084 	530.642 	
2780.00 	86.6300 	-707.540 	530.550 	87.0590 	-707.084 	530.642 	
2784.00 	86.6300 	-707.540 	530.560 	86.6815 	-707.686 	530.627 	
2788.00 	86.6300 	-707.540 	530.570 	86.6815 	-707.686 	530.627 	
2793.00 	86.6300 	-707.540 	530.590 	86.6815 	-707.686 	530.627 	
2796.00 	86.6300 	-707.540 	530.600 	86.6815 	-707.686 	530.627 	
2800.00 	86.6300 	-707.550 	530.610 	86.6815 	-707.686 	530.627 	
2804.00 	86.6300 	-707.550 	530.610 	86.6815 	-707.686 	530.627 	
2808.00 	86.6300 	-707.540 	530.610 	86.6815 	-707.686 	530.627 	
2812.00 	86.6300 	-707.540 	530.590 	86.6815 	-707.686 	530.627 	
2816.00 	86.6300 	-707.530 	530.580 	86.6815 	-707.686 	530.627 	
2820.00 	86.6300 	-707.530 	530.580 	86.6815 	-707.686 	530.627 	
2824.00 	86.6300 	-707.530 	530.580 	86.6815 	-707.686 	530.627 	
2828.00 	86.6300 	-707.530 	530.580 	86.6815 	-707.686 	530.627 	
2833.00 	86.6300 	-707.530 	530.580 	86.6965 	-707.660 	530.627 	
2836.00 	86.6300 	-707.530 	530.580 	86.6965 	-707.660 	530.627 	
2840.00 	86.6300 	-707.530 	530.580 	86.6965 	-707.660 	530.627 	
2844.00 	86.6300 	-707.530 	530.580 	86.6965 	-707.660 	530.627 	
2848.00 	86.6400 	-707.530 	530.590 	86.6965 	-707.660 	530.627 	
2852.00 	86.6400 	-707.540 	530.610 	86.6965 	-707.660 	530.627 	
2856.00 	86.6400 	-707.540 	530.620 	86.6840 	-707.665 	530.622 	
2860.00 	86.6500 	-707.540 	530.630 	86.6840 	-707.665 	530.622 	
2864.00 	86.6500 	-707.540 	530.630 	86.6840 	-707.665 	530.622 	
2868.00 	86.6500 	-707.540 	530.630 	86.6840 	-707.665 	530.622 	
2872.00 	86.6500 	-707.540 	530.630 	86.6840 	-707.665 	530.622 	
2876.00 	86.6500 	-707.540 	530.620 	86.6840 	-707.665 	530.622 	
2882.00 	86.6600 	-707.540 	530.630 	86.4665 	-707.782 	530.547 	
2885.00 	86.6600 	-707.540 	530.630 	86.4665 	-707.782 	530.547 	
2888.00 	86.6600 	-707.540 	530.640 	86.4665 	-707.782 	530.547 	
2892.00 	86.6600 	-707.540 	530.640 	86.4665 	-707.782 	530.547 	
2896.00 	86.6700 	-707.540 	530.640 	86.4665 	-707.782 	530.547 	
2901.00 	86.6700 	-707.540 	530.640 	86.4665 	-707.782 	530.547 	
2906.00 	86.6700 	-707.540 	530.640 	86.4640 	-707.353 	530.422 	
2909.00 	86.6700 	-707.550 	530.650 	86.4640 	-707.353 	530.422 	
2913.00 	86.6700 	-707.550 	530.650 	86.4640 	-707.353 	530.422 	
2918.00 	86.6700 	-707.550 	530.660 	86.4640 	-707.353 	530.422 	
2921.00 	86.6700 	-707.550 	530.660 	86.4640 	-707.353 	530.422 	
2925.00 	86.6700 	-707.550 	530.660 	86.7090 	-707.656 	530.632 	
2930.00 	86.6700 	-707.550 	530.660 	86.7090 	-707.656 	530.632 	
2933.00 	86.6600 	-707.560 	530.660 	86.7090 	-707.656 	530.632 	
2937.00 	86.6600 	-707.560 	530.660 	86.7090 	-707.656 	530.632 	
2942.00 	86.6600 	-707.560 	530.660 	86.7090 	-707.656 	530.632 	
2945.00 	86.6700 	-707.560 	530.660 	86.7090 	-707.656 	530.632 	
2949.00 	86.6700 	-707.560 	530.660 	86.4440 	-707.422 	530.432 	
2953.00 	86.6700 	-707.570 	530.660 	86.4440 	-707.422 	530.432 	
2957.00 	86.6700 	-707.570 	530.660 	86.4440 	-707.422 	530.432 	
2961.00 	86.6800 	-707.570 	530.660 	86.4440 	-707.422 	530.432 	
2965.00 	86.6800 	-707.570 	530.640 	86.4440 	-707.422 	530.432 	
2969.00 	86.6700 	-707.570 	530.620 	86.4440 	-707.422 	530.432 	
2973.00 	86.6700 	-707.560 	530.610 	86.7415 	-707.652 	530.647 	
2977.00 	86.6700 	-707.560 	530.590 	86.7415 	-707.652 	530.647 	
2982.00 	86.6700 	-707.560 	530.590 	86.7415 	-707.652 	530.647 	
2985.00 	86.6700 	-707.560 	530.590 	86.7415 	-707.652 	530.647 	
2989.00 	86.6700 	-707.570 	530.580 	86.7415 	-707.652 	530.647 	
2994.00 	86.6700 	-707.570 	530.580 	86.7415 	-707.652 	530.647 	
2998.00 	86.6700 	-707.560 	530.580 	86.7040 	-707.630 	530.622 	
3002.00 	86.6700 	-707.560 	530.570 	86.7040 	-707.630 	530.622 	
3005.00 	86.6700 	-707.560 	530.570 	86.7040 	-707.630 	530.622 	
3009.00 	86.6700 	-707.560 	530.570 	86.7040 	-707.630 	530.622 	
3013.00 	86.6700 	-707.560 	530.570 	86.7040 	-707.630 	530.622 	
3018.00 	86.6700 	-707.560 	530.570 	86.7040 	-707.630 	530.622 	
3022.00 	86.6600 	-707.560 	530.570 	86.4915 	-707.427 	530.457 	
3026.00 	86.6600 	-707.560 	530.560 	86.4915 	-707.427 	530.457 	
3029.00 	86.6600 	-707.560 	530.560 	86.4915 	-707.427 	530.457 	
3034.00 	86.6600 	-707.560 	530.550 	86.4915 	-707.427 	530.457 	
3038.00 	86.6600 	-707.560 	530.550 	86.4915 	-707.427 	530.457 	
3042.00 	86.6600 	-707.560 	530.560 	86.4915 	-707.427 	530.457 	
3046.00 	86.6600 	-707.560 	530.570 	86.7465 	-707.712 	530.667 	
3050.00 	86.6600 	-707.570 	530.580 	86.7465 	-707.712 	530.667 	
3054.00 	86.6600 	-707.570 	530.600 	86.7465 	-707.712 	530.667 	
3058.00 	86.6600 	-707.570 	530.600 	86.7465 	-707.712 	530.667 	
3062.00 	86.6600 	-707.570 	530.610 	86.7465 	-707.712 	530.667 	
3066.00 	86.6600 	-707.570 	530.610 	86.7465 	-707.712 	530.667 	
3070.00 	86.6600 	-707.570 	530.600 	86.4490 	-707.240 	530.382 	
3074.00 	86.6600 	-707.570 	530.580 	86.4490 	-707.240 	530.382 	
3078.00 	86.6600 	-707.560 	530.570 	86.4490 	-707.240 	530.382 	
3082.00 	86.6600 	-707.560 	530.560 	86.4490 	-707.240 	530.382 	
3086.00 	86.6600 	-707.560 	530.560 	86.4490 	-707.240 	530.382 	
3090.00 	86.6600 	-707.560 	530.550 	86.4490 	-707.240 	530.382 	
3094.00 	86.6600 	-707.560 	530.560 	86.6865 	-707.608 	530.607 	
3098.00 	86.6600 	-707.560 	530.550 	86.6865 	-707.608 	530.607 	
3103.00 	86.6600 	-707.560 	530.560 	86.6865 	-707.608 	530.607 	
3106.00 	86.6600 	-707.560 	530.560 	86.6865 	-707.608 	530.607 	
3110.00 	86.6600 	-707.560 	530.550 	86.6865 	-707.608 	530.607 	
3115.00 	86.6600 	-707.550 	530.550 	86.6865 	-707.608 	530.607 	
3118.00 	86.6600 	-707.550 	530.550 	86.5265 	-707.643 	530.537 	
3123.00 	86.6600 	-707.560 	530.550 	86.5265 	-707.643 	530.537 	
3127.00 	86.6500 	-707.560 	530.550 	86.5265 	-707.643 	530.537 	
3130.00 	86.6500 	-707.560 	530.540 	86.5265 	-707.643 	530.537 	
3135.00 	86.6500 	-707.550 	530.540 	86.5265 	-707.643 	530.537 	
3138.00 	86.6500 	-707.550 	530.540 	86.5265 	-707.643 	530.537 	
3143.00 	86.6500 	-707.550 	530.530 	86.5215 	-707.340 	530.447 	
3147.00 	86.6500 	-707.550 	530.530 	86.5215 	-707.340 	530.447 	
3151.00 	86.6400 	-707.550 	530.530 	86.5215 	-707.340 	530.447 	
3154.00 	86.6400 	-707.550 	530.530 	86.5215 	-707.340 	530.447 	
3159.00 	86.6400 	-707.550 	530.520 	86.5215 	-707.340 	530.447 	
3163.00 	86.6400 	-707.550 	530.520 	86.6915 	-707.669 	530.627 	
3168.00 	86.6400 	-707.550 	530.520 	86.6915 	-707.669 	530.627 	
3171.00 	86.6400 	-707.550 	530.520 	86.6915 	-707.669 	530.627 	
